id,level_id,claim_type_id,patient,plafond,effective_date,created_by,updated_by,created_at,updated_at
1,1,1,1,2000000,2025-01-01,superadmin,superadmin,,
2,1,2,1,400000,2025-01-01,superadmin,superadmin,,
3,1,3,1,400000,2025-01-01,superadmin,superadmin,,
4,1,3,2,400000,2025-01-01,superadmin,superadmin,,
5,1,4,1,2000000,2025-01-01,superadmin,superadmin,,
6,1,4,2,2000000,2025-01-01,superadmin,superadmin,,
7,1,5,1,2000000,2025-01-01,superadmin,superadmin,,
8,1,5,2,2000000,2025-01-01,superadmin,superadmin,,
9,1,6,1,2000000,2025-01-01,superadmin,superadmin,,
10,1,6,2,2000000,2025-01-01,superadmin,superadmin,,
11,1,7,1,12000000,2025-01-01,superadmin,superadmin,,
12,2,1,1,3000000,2025-01-01,superadmin,superadmin,,
13,2,2,1,700000,2025-01-01,superadmin,superadmin,,
14,2,3,1,700000,2025-01-01,superadmin,superadmin,,
15,2,3,2,700000,2025-01-01,superadmin,superadmin,,
16,2,4,1,3000000,2025-01-01,superadmin,superadmin,,
17,2,4,2,3000000,2025-01-01,superadmin,superadmin,,
18,2,5,1,3000000,2025-01-01,superadmin,superadmin,,
19,2,5,2,3000000,2025-01-01,superadmin,superadmin,,
20,2,6,1,3000000,2025-01-01,superadmin,superadmin,,
21,2,6,2,3000000,2025-01-01,superadmin,superadmin,,
22,2,7,1,12000000,2025-01-01,superadmin,superadmin,,
23,3,1,1,5000000,2025-01-01,superadmin,superadmin,,
24,3,2,1,1500000,2025-01-01,superadmin,superadmin,,
25,3,3,1,1500000,2025-01-01,superadmin,superadmin,,
26,3,3,2,1500000,2025-01-01,superadmin,superadmin,,
27,3,4,1,5000000,2025-01-01,superadmin,superadmin,,
28,3,4,2,5000000,2025-01-01,superadmin,superadmin,,
29,3,5,1,5000000,2025-01-01,superadmin,superadmin,,
30,3,5,2,5000000,2025-01-01,superadmin,superadmin,,
31,3,6,1,5000000,2025-01-01,superadmin,superadmin,,
32,3,6,2,5000000,2025-01-01,superadmin,superadmin,,
33,3,7,1,12000000,2025-01-01,superadmin,superadmin,,
34,4,1,1,4000000,2025-01-01,superadmin,superadmin,,
35,4,2,1,1000000,2025-01-01,superadmin,superadmin,,
36,4,3,1,1000000,2025-01-01,superadmin,superadmin,,
37,4,3,2,1000000,2025-01-01,superadmin,superadmin,,
38,4,4,1,4000000,2025-01-01,superadmin,superadmin,,
39,4,4,2,4000000,2025-01-01,superadmin,superadmin,,
40,4,5,1,4000000,2025-01-01,superadmin,superadmin,,
41,4,5,2,4000000,2025-01-01,superadmin,superadmin,,
42,4,6,1,4000000,2025-01-01,superadmin,superadmin,,
43,4,6,2,4000000,2025-01-01,superadmin,superadmin,,
44,4,7,1,12000000,2025-01-01,superadmin,superadmin,,
45,5,1,1,5000000,2025-01-01,superadmin,superadmin,,
46,5,2,1,1500000,2025-01-01,superadmin,superadmin,,
47,5,3,1,1500000,2025-01-01,superadmin,superadmin,,
48,5,3,2,1500000,2025-01-01,superadmin,superadmin,,
49,5,4,1,5000000,2025-01-01,superadmin,superadmin,,
50,5,4,2,5000000,2025-01-01,superadmin,superadmin,,
51,5,5,1,5000000,2025-01-01,superadmin,superadmin,,
52,5,5,2,5000000,2025-01-01,superadmin,superadmin,,
53,5,6,1,5000000,2025-01-01,superadmin,superadmin,,
54,5,6,2,5000000,2025-01-01,superadmin,superadmin,,
55,5,7,1,12000000,2025-01-01,superadmin,superadmin,,
56,6,1,1,3000000,2025-01-01,superadmin,superadmin,,
57,6,2,1,700000,2025-01-01,superadmin,superadmin,,
58,6,3,1,700000,2025-01-01,superadmin,superadmin,,
59,6,3,2,700000,2025-01-01,superadmin,superadmin,,
60,6,4,1,3000000,2025-01-01,superadmin,superadmin,,
61,6,4,2,3000000,2025-01-01,superadmin,superadmin,,
62,6,5,1,3000000,2025-01-01,superadmin,superadmin,,
63,6,5,2,3000000,2025-01-01,superadmin,superadmin,,
64,6,6,1,3000000,2025-01-01,superadmin,superadmin,,
65,6,6,2,3000000,2025-01-01,superadmin,superadmin,,
66,6,7,1,12000000,2025-01-01,superadmin,superadmin,,
